n_steps;n_d;n_a;gamma;best_valid_acc
4.0;40.0;40.0;2.0;0.925045231325924
4.0;56.0;56.0;1.0;0.9925045231325924
4.0;56.0;56.0;1.2;0.989446023951064
4.0;56.0;56.0;1.4;0.9662272766434048
4.0;56.0;56.0;1.6;0.9397777203411735
4.0;56.0;56.0;1.8;0.9339622641509434
4.0;56.0;56.0;2.0;0.9616610665977428
5.0;8.0;8.0;1.0;0.9184543809769966
5.0;8.0;8.0;1.2;0.8764107865942965
5.0;8.0;8.0;1.4;0.7507107779788059
5.0;8.0;8.0;1.6;0.6742913758938571
5.0;8.0;8.0;1.8;0.839579564056173
5.0;8.0;8.0;2.0;0.7383475488929094
5.0;24.0;24.0;1.0;0.9829844059619195
5.0;24.0;24.0;1.2;0.9725165848195054
5.0;24.0;24.0;1.4;0.9396484879813906
5.0;24.0;24.0;1.6;0.7624709227190488
5.0;24.0;24.0;1.8;0.8750323080899457
5.0;24.0;24.0;2.0;0.8163177392952529
5.0;40.0;40.0;1.0;0.9890583268717154
5.0;40.0;40.0;1.2;0.946110105970535
5.0;40.0;40.0;1.4;0.8960541052812958
5.0;40.0;40.0;1.6;0.9112173688291548
5.0;40.0;40.0;1.8;0.9324114758335488
5.0;40.0;40.0;2.0;0.9090204187128457
5.0;56.0;56.0;1.0;0.9901783406565003
5.0;56.0;56.0;1.2;0.9691134660118894
5.0;56.0;56.0;1.4;0.9377530800379081
5.0;56.0;56.0;1.6;0.9254329284052727
5.0;56.0;56.0;1.8;0.9177651417248213
5.0;56.0;56.0;2.0;0.9303006806237615
6.0;8.0;8.0;1.0;0.9411131213922633
6.0;8.0;8.0;1.2;0.7475661238907556
6.0;8.0;8.0;1.4;0.7620832256397002
6.0;8.0;8.0;1.6;0.8046006720082709
6.0;8.0;8.0;1.8;0.6517187903851124
6.0;8.0;8.0;2.0;0.7207719479624365
6.0;24.0;24.0;1.0;0.9816920823640907
6.0;24.0;24.0;1.2;0.9038511243215301
